Name,IATA,countryName,activeStatus
Nauru Air Corporation,ON,Nauru,Y
Navitaire,1N,United States,N
Nepal Airlines,RA,Nepal,Y
Neos,NO,Italy,N
NetJets,1I,United States,Y
New England Airlines,EJ,United States,Y
NextJet,2N,Sweden,Y
Niki,HG,Austria,Y
Nippon Cargo Airlines,KZ,Japan,N
Nok Air,DD,Thailand,Y
Nordeste Linhas Aereas Regionais,JH,Brazil,N
Nordic Regional,6N,Sweden,N
North Coast Aviation,N9,Papua New Guinea,N
North Flying,M3,Denmark,N
North-Wright Airways,HW,Canada,N
Northern Air Cargo,NC,United States,N
Northern Dene Airways,U7,Canada,Y
Northwest Airlines,NW,United States,Y
Northwest Regional Airlines,FY,Australia,N
Northwestern Air,J3,Canada,Y
Norwegian Air Shuttle,DY,Norway,Y
Nouvel Air Tunisie,BJ,Tunisia,Y
Nova Airline,M4,Sudan,N
Novair,1I,Sweden,Y
Nuevo Continente,N6,Peru,N
Nas Air,XY,Saudi Arabia,Y
O'Connor Airlines,UQ,Australia,N
OAG,CR,United Kingdom,N
Oasis Hong Kong Airlines,O8,Hong Kong,Y
Ocean Airlines,VC,Italy,N
Oceanair,O6,Brazil,Y
Oceanic Airlines,O2,Guinea,Y
Olympic Airlines,OA,Greece,Y
Oman Air,WY,Oman,Y
Omni Air International,OY,United States,Y
Omskavia Airline,N3,Russia,N
Onur Air,8Q,Turkey,Y
Orenburg Airlines,R2,Russia,Y
Orient Thai Airlines,OX,Thailand,Y
Origin Pacific Airways,QO,New Zealand,Y
Ostfriesische Lufttransport,OL,Germany,Y
Our Airline,ON,Nauru,N
Overland Airways,OJ,Nigeria,Y
Ozark Air Lines,OZ,United States,N
Ozjet Airlines,O7,Australia,Y
PAN Air,PV,Spain,Y
PB Air,9Q,Thailand,Y
PLUNA,PU,Uruguay,Y
PMTair,U4,Cambodia,Y
Pace Airlines,Y5,United States,N
Jetstar Pacific,BL,Vietnam,Y
Pacific Blue,DJ,New Zealand,N
Pacific Coastal Airline,8P,Canada,Y
Pacific East Asia Cargo Airlines,Q8,Philippines,Y
Pacific Southwest Airlines,PS,United States,N
Pacific Wings,LW,United States,Y
Pacificair,GX,Philippines,N
Pakistan International Airlines,PK,Pakistan,Y
Palau Trans Pacific Airline,GP,Palau,N
Palestinian Airlines,PF,Egypt,N
Pamir Airways,NR,Afghanistan,N
Pan American Airways,PA,United States,N
Pan American World Airways,PA,United States,N
Panafrican Airways,PQ,Ivory Coast,N
Pantanal Linhas Aéreas,P8,Brazil,N
Paramount Airways,I7,India,Y
Pearl Airways,HP,Haiti,N
Pegasus Airlines,PC,Turkey,Y
Pegasus Hava Tasimaciligi,1I,Turkey,N
Peninsula Airways,KS,United States,Y
Perm Airlines,P9,Russia,N
Philippine Airlines,PR,Philippines,Y
Phoenix Airways,HP,Switzerland,N
Phuket Air,9R,Thailand,N
Piedmont Airlines (1948-1989),PI,United States,Y
Pinnacle Airlines,9E,United States,Y
Polar Air Cargo,PO,United States,N
Polynesian Airlines,PH,Samoa,Y
Polynesian Blue,DJ,New Zealand,N
Polyot Sirena,1U,Russia,N
Porter Airlines,PD,Canada,Y
Portugalia,NI,Portugal,Y
Potomac Air,BK,United States,Y
Precision Air,PW,Tanzania,Y
President Airlines,TO,Cambodia,N
Primaris Airlines,FE,United States,N
Private Wings Flugcharter,8W,Germany,N
Proflight Commuter Services,P0,Zambia,Y
Qantas,QF,Australia,Y
Qatar Airways,QR,Qatar,Y
RACSA,R6,Guatemala,Y
Radixx Solutions International,1D,United States,N
Redhill Aviation,8L,United Kingdom,N
Reem Air,V4,Kyrgyzstan,N
Regional Airlines,FN,Morocco,Y
Regional Express,ZL,Australia,Y
RegionsAir,3C,United States,N
Reno Air,QQ,United States,N
Republic Airlines,RW,United States,Y
Republic Express Airlines,RH,Indonesia,Y
Rico Linhas A,C7,Brazil,N
Rio Grande Air,E2,United States,N
Rio Sul Servi,SL,Brazil,N
Rossiya,R4,Russia,Y
Air Rarotonga,GZ,Cook Islands,Y
Royal Air Force,RR,United Kingdom,N
Royal Air Force of Oman,RS,Oman,N
Royal Air Maroc,AT,Morocco,Y
Royal Airlines,R0,Pakistan,N
Royal Aruban Airline,V5,Aruba,N
Royal Brunei Airlines,BI,Brunei,Y
Royal Jordanian,RJ,Jordan,Y
Royal Khmer Airlines,RK,Cambodia,N
Royal Nepal Airlines,RA,Nepal,Y
Royal Tongan Airlines,WR,Tonga,N
Russian Sky Airlines,P7,Russia,N
Rwandair Express,WB,Rwanda,Y
Ryan International Airlines,RD,United States,Y
Ryanair,FR,Ireland,Y
Régional,YS,France,Y
SATA International,S4,Portugal,Y
South African Airways,SA,South Africa,Y
Shaheen Air International,NL,Pakistan,Y
Scandinavian Airlines System,SK,Sweden,Y
S7 Airlines,S7,Russia,Y
Seaborne Airlines,BB,United States,Y
SriLankan Airlines,UL,Sri Lanka,Y
Sun Country Airlines,SY,United States,Y
Sky Express,G3,Greece,Y
Spicejet,SG,India,Y
Sky Eyes,I6,Thailand,N
SAETA,EH,Ecuador,N
Star Flyer,7G,Japan,Y
Safair,FA,South Africa,N
Skagway Air Service,N5,United States,Y
SATA Air Acores,SP,Portugal,Y
Singapore Airlines,SQ,Singapore,Y
Sibaviatrans,5M,Russia,Y
Skynet Airlines,SI,Ireland,Y
SITA,XS,Belgium,N
Sriwijaya Air,SJ,Indonesia,Y
Sama Airlines,ZS,Saudi Arabia,Y
Singapore Airlines Cargo,SQ,Singapore,Y
Siem Reap Airways,FT,Cambodia,Y
Sky Work Airlines,SX,Switzerland,N
Swedline Express,SM,Sweden,N
South East Asian Airlines,DG,Philippines,Y
SwedJet Airways,VD,Sweden,N
Skyservice Airlines,5G,Canada,Y
Servicios de Transportes A,FS,Argentina,Y
Sudan Airways,SD,Sudan,Y
Sun Air (Fiji),PI,Fiji,N
Sun Air of Scandinavia,EZ,Denmark,N
Saudi Arabian Airlines,SV,Saudi Arabia,Y
Southwest Airlines,WN,United States,Y
Southern Winds Airlines,A4,Argentina,Y
Sunwing Airlines,WG,Canada,N
Swiss International Air Lines,LX,Switzerland,Y
Swissair,SR,Switzerland,Y
Swe Fly,WV,Sweden,Y
Shovkoviy Shlyah,S8,Ukraine,N
SunExpress,XQ,Turkey,Y
Syrian Arab Airlines,RB,Syrian Arab Republic,Y
Skywalk Airlines,AL,United States,Y
Silk Way Airlines,ZP,Azerbaijan,N
Samara Airlines,E5,Russia,N
Shandong Airlines,SC,China,Y
Spring Airlines,9S,China,Y
Sichuan Airlines,3U,China,Y
Shanghai Airlines,FM,China,Y
Shenzhen Airlines,ZH,China,Y
Shanxi Airlines,8C,China,N
Sun D'Or,7L,Israel,Y
SkyEurope,NE,Slovakia,Y
Sunshine Express Airlines,CQ,Australia,N
Superior Aviation,SO,United States,N
Spanair,JK,Spain,Y
San Juan Airlines,2G,United States,N
Sabre Pacific,1Z,Australia,N
Sabre,1S,United States,N
Sierra Nevada Airlines,1I,United States,N
Siren-Travel,1H,Russia,N
Sirena,1Q,Russia,N
Southern Cross Distribution,1K,Australia,N
Sutra,1K,United States,N
SNCF,2C,France,N
Star Equatorial Airlines,2S,Guinea,N
Spirit Airlines,NK,United States,Y
SATENA,9R,Colombia,Y
Slok Air Gambia,S0,Gambia,N
Sosoliso Airlines,SO,Nigeria,N
Sky Trek International Airlines,1I,United States,N
Skybus Airlines,SX,United States,N
SkyKing Turks and Caicos Airways,RU,Turks and Caicos Islands,N
Santa Barbara Airlines,S3,Venezuela,Y
Sky Airline,H2,Chile,Y
SkyWest,OO,United States,Y
Skyways Express,JZ,Sweden,Y
Skymark Airlines,BC,Japan,Y
Sierra National Airlines,LJ,Sierra Leone,N
SilkAir,MI,Singapore,Y
Slovak Airlines,6Q,Slovakia,N
Surinam Airways,PY,Suriname,Y
Servant Air,8D,United States,N
Sterling Airlines,NB,Denmark,Y
Skynet Asia Airways,6J,Japan,Y
Solomon Airlines,IE,Solomon Islands,Y
Saratov Aviation Division,6W,Russia,Y
Sat Airlines,HZ,Kazakhstan,Y
Shuttle America,S5,United States,Y
Scat Air,DV,Kazakhstan,Y
Star Air,S6,Denmark,N
TAME,EQ,Ecuador,Y
TAM Brazilian Airlines,JJ,Brazil,Y
TAP Portugal,TP,Portugal,Y
Tunisair,TU,Tunisia,Y
TNT Airways,3V,Belgium,N
Tropical Airways,M7,Haiti,N
Thai Air Cargo,T2,Thailand,Y
Thomas Cook Airlines,FQ,Belgium,Y
Thomas Cook Airlines,MT,United Kingdom,Y
Tandem Aero,TQ,Moldova,N
Teamline Air,L9,Austria,N
Transeuropean Airlines,UE,Russia,N
Titan Airways,ZT,United Kingdom,N
Tiger Airways,TR,Singapore,Y
Tiger Airways Australia,TT,Australia,Y
Thai Airways International,TG,Thailand,Y
Thai AirAsia,FD,Thailand,Y
Turkish Airlines,TK,Turkey,Y
Twin Jet,T7,France,Y
Thai Sky Airlines,9I,Thailand,N
Tulip Air,TD,Netherland,N
Trans Mediterranean Airlines,TL,Lebanon,Y
Tri-MG Intra Asia Airlines,GY,Indonesia,N
Tiara Air,3P,Aruba,Y
Tobruk Air,7T,Libya,N
Tol-Air Services,TI,United States,N
Thomsonfly,BY,United Kingdom,Y
Tropic Air,PM,Belize,Y
Tower Air,FF,United States,N
TAMPA,QT,Colombia,Y
TransAsia Airways,GE,Taiwan,Y
Transavia Holland,HV,Netherlands,Y
TACV,VR,Portugal,Y
TransMeridian Airlines,T9,United States,N
Transmile Air Services,TH,Malaysia,N
Trast Aero,S5,Kyrgyzstan,N
Transwest Air,9T,Canada,Y
Transaero Airlines,UN,Russia,Y
Thai Star Airlines,T9,Thailand,N
Turkmenistan Airlines,T5,Turkmenistan,Y
Tuninter,UG,Tunisia,Y
Tavrey Airlines,T6,Ukraine,N
Travel Service,QS,Czech Republic,Y
Trans World Airlines,TW,United States,N
Transaviaexport,AL,Belarus,N
TUIfly Nordic,6B,Sweden,Y
TAAG Angola Airlines,DT,Angola,Y
Tassili Airlines,SF,Algeria,N
TAM Mercosur,PZ,Paraguay,Y
Trans States Airlines,AX,United States,Y
Travelsky Technology,1E,China,N
Thalys,2H,Belgium,N
Open Skies Consultative Commission,1L,United States,N
Tarom,RO,Romania,Y
Turan Air,3T,Azerbaijan,Y
TRIP Linhas A,8R,Brazil,Y
USA3000 Airlines,U5,United States,Y
United Airlines,UA,United States,Y
United Feeder Service,U2,United States,N
USA Jet Airlines,U7,United States,N
Ural Airlines,U6,Russia,Y
UM Airlines,UF,Ukraine,Y
Ukrainian Cargo Airways,6Z,Ukraine,N
United Parcel Service,5X,United States,N
US Airways,US,United States,Y
UTair Aviation,UT,Russia,Y
Uzbekistan Airways,HY,Uzbekistan,Y
Ukraine International Airlines,PS,Ukraine,Y
US Helicopter Corporation,UH,United States,Y
V Australia Airlines,VA,Australia,N
Valuair,VF,Singapore,Y
Voyageur Airways,VC,Canada,N
Vietnam Airlines,VN,Vietnam,Y
VIM Airlines,NN,Russia,Y
VIA Rail Canada,2R,Canada,N
Viasa,VA,Venezuela,N
Volaris,Y4,Mexico,Y
Volga-Dnepr Airlines,VI,Russia,Y
Virgin America,VX,United States,Y
Virgin Express,TV,Belgium,Y
Virgin Nigeria Airways,VK,Nigeria,Y
Virgin Atlantic Airways,VS,United Kingdom,Y
Viva Macau,ZG,Macao,Y
Volare Airlines,VE,Italy,Y
Vueling Airlines,VY,Spain,Y
Vladivostok Air,XF,Russia,Y
Varig Log,LC,Brazil,Y
Viaggio Air,VM,Bulgaria,N
Virgin Australia,VA,Australia,Y
Virgin Blue,DJ,Australia,N
VRG Linhas Aereas,RG,Brazil,Y
VASP,VP,Brazil,Y
VLM Airlines,VG,Belgium,Y
Wayraper,7W,Peru,Y
WebJet Linhas A,WJ,Brazil,Y
Welcome Air,2W,Austria,Y
West Air Sweden,PT,Sweden,N
West Coast Air,8O,Canada,Y
WestJet,WS,Canada,Y
Western Airlines,WA,United States,Y
Westward Airways,CN,United States,N
Widerøe,WF,Norway,Y
Wind Jet,IV,Italy,Y
Wings Air,IW,Indonesia,Y
Wings of Alaska,K5,United States,N
Wizz Air,W6,Hungary,Y
Wizz Air Hungary,8Z,Bulgaria,Y
World Airways,WO,United States,Y
Worldspan,1P,United States,N
Wright Air Service,8V,United States,N
XL Airways France,SE,France,Y
Xiamen Airlines,MF,China,Y
Xtra Airways,XP,United States,N
Yamal Airlines,YL,Russia,Y
Yangtze River Express,Y8,China,N
Yemenia,IY,Yemen,Y
Zambian Airways,Q3,Zambia,N
Zip,3J,Canada,N
Zimex Aviation,C4,Switzerland,N
Zoom Airlines,Z4,Canada,Y
buzz,UK,\N,N
Maldivian Air Taxi,8Q,Maldives,Y
Sky Express,XW,Russia,Y
Yellow Air Taxi,Y0,United States,N
Royal Air Cambodge,VJ,Cambodia,Y
Air Mandalay,6T,Burma,Y
TAN-SAHSA,SH,Honduras,N
Air Busan,BX,Republic of Korea,Y
TUI Airlines Belgium,TB,Belgium,N
Braathens,BU,Norway,N
Globus,GH,Russia,Y
Air Kazakhstan,9Y,Kazakhstan,Y
Japan Air System,JD,Japan,Y
Annsett New Zealand (NZA),ZQ,New Zealand,N
EasyJet (DS),DS,Switzerland,Y
Star Peru (2I),2I,Peru,Y
Carnival Air Lines,KW,United States,Y
United Airways,4H,Bangladesh,Y
Trans Maldivian Airways,M8,Maldives,N
Fly540,5H,Kenya,Y
Transavia France,TO,France,Y
Island Air (WP),WP,United States,Y
1-2-go,OG,Thailand,N
Uni Air,B7,Taiwan,Y
Gomelavia,YD,Belarus,Y
Red Wings,WZ,Russia,Y
TUIfly (X3),11,Germany,Y
Felix Airways,FU,Yemen,Y
Kostromskie avialinii,K1,Russia,Y
Greenfly,XX,Spain,Y
Tajik Air,7J,Tajikistan,Y
Air Mozambique,TM,Mozambique,Y
Gabon Airlines,GY,Gabon,Y
Maldivo Airlines,ML,Maldives,Y
Virgin Pacific,VH,Fiji,Y
Zest Air,Z2,Philippines,Y
Yangon Airways,HK,Burma,Y
Transport Aérien Transrégional,IJ,France,N
Minerva Airlines,N4,Italy,N
Eastar Jet,ZE,South Korea,Y
Jin Air,LJ,South Korea,Y
Aéris (Priv),SH,France,N
Air Arabia Maroc,3O,Morocco,Y
Baltic Air lines,B1,Latvia,Y
Ciel Canadien,YC,Canada,Y
Canadian National Airways,CN,Canada,Y
Epic Holiday,FA,United States,Y
Air Comet Chile,3I,Chile,Y
Voronezhskie Airlanes,DN,Russia,N
Line Blue,L8,Germany,Y
Blue Sky America,BU,United States,N
Texas Spirit,XS,United States,N
Illinois Airways,IL,United States,N
Salzburg arrows,SZ,Austria,Y
Texas Wings,TQ,United States,Y
California Western,KT,United States,N
Dennis Sky,DH,Israel,Y
Zz,ZZ,Belgium,Y
Atifly,A1,United States,Y
Air UK,UK,United Kingdom,N
Suckling Airways,CB,United Kingdom,N
Reno Sky,RY,United States,N
Ciao Air,99,Italy,Y
Birmingham European,VB,United Kingdom,N
Pal airlines,5P,Chile,Y
CanXpress,C1,Canada,Y
Danube Wings (V5),V5,Slovakia,Y
Sharp Airlines,SH,Australia,Y
CanXplorer,C2,Canada,Y
Click (Mexicana),QA,Mexico,Y
World Experience Airline,W1,Canada,Y
ALAK,J4,Russia,Y
AJT Air International,E9,Russia,N
Air Choice One,3E,United States,Y
China United,KN,China,Y
Locair,ZQ,United States,Y
Safi Airlines,4Q,Afghanistan,Y
SeaPort Airlines,K5,United States,Y
Salmon Air,S6,United States,Y
Fly Illi,IL,United States,N
Star1 Airlines,V9,Lithuania,Y
Pelita,6D,Indonesia,Y
Alpi Eagles (E8),E8,Italy,N
Alaska Seaplane Service,J5,United States,Y
TAN,T8,Argentina,N
MexicanaLink,I6,Mexico,Y
Island Spirit,IP,Iceland,Y
TACA Peru,T0,Peru,Y
Pan Am World Airways Dominicana,7Q,Dominican Republic,Y
Primera Air,PF,Iceland,Y
Air Antilles Express,3S,Guadeloupe,Y
Regional Paraguaya,P7,Paraguay,Y
VIP Ecuador,V6,Ecuador,Y
Peruvian Airlines,P9,Peru,Y
Catovair,OC,Mauritius,Y
Halcyonair,7Z,Cape Verde,Y
Business Aviation,4P,Congo (Kinshasa),Y
Compagnie Africaine d\\'Aviation,E9,Congo (Kinshasa),Y
Zambia Skyways,K8,Zambia,Y
AlMasria Universal Airlines,UJ,Egypt,Y
SmartLynx Airlines,6Y,Latvia,Y
KoralBlue Airlines,K7,Egypt,Y
Elysian Airlines,E4,Cameroon,Y
Hellenic Imperial Airways,HT,Greece,Y
Amsterdam Airlines,WD,Netherlands,Y
Arik Niger,Q9,Niger,Y
Dana Air,DA,Nigeria,Y
STP Airways,8F,Sao Tome and Principe,Y
Med Airways,7Y,Lebanon,Y
Skyjet Airlines,UQ,Uganda,Y
Air Volga,G6,Russia,Y
Royal Falcon,RL,Jordan,Y
Euroline,4L,Georgia,Y
Worldways,WG,Canada,N
Athens Airways,ZF,Greece,Y
Viking Hellas,VQ,Greece,Y
Starline.kz,DZ,Kazakhstan,Y
Euro Harmony,EH,Portugal,N
Lugansk Airlines,L7,Ukraine,Y
Gryphon Airlines,6P,United States,Y
Gadair European Airlines,GP,Spain,Y
Spirit of Manila Airlines,SM,Philippines,Y
Chongqing Airlines,OQ,China,Y
West Air China,PN,China,Y
Falcon Air (IH),IH,Sweden,N
QatXpress,C3,Qatar,Y
OneChina,1C,China,Y
NordStar Airlines,Y7,Russia,Y
Joy Air,JR,China,Y
Air India Regional,CD,India,Y
MDLR Airlines,9H,India,Y
Maldivian,Q2,Maldives,Y
Xpressair,XN,Indonesia,Y
Strategic Airlines,VC,Australia,Y
Fuji Dream Airlines,JH,Japan,Y
SGA Airlines,5E,Thailand,Y
Air2there,F8,New Zealand,Y
Avianova (Russia),AO,Russia,Y
Parmiss Airlines (IPV),PA,Iran,Y
EuropeSky,ES,Germany,Y
BRAZIL AIR,GB,Brazil,Y
Homer Air,MR,Germany,Y
Flitestar,GM,South Africa,N
PanAm World Airways,WQ,United States,Y
Virginwings,YY,Germany,Y
KSY,KY,Greece,Y
Buquebus Líneas Aéreas,BQ,Uruguay,Y
SOCHI AIR,CQ,Russia,Y
Wizz Air Ukraine,WU,Ukraine,Y
88,47,Cyprus,Y
LCM AIRLINES,LQ,Russia,Y
Aero Brazil,BZ,Brazil,N
Cambodia Angkor Air (K6),K6,Cambodia,Y
Skyline nepc,D5,India,N
THREE,H3,China,N
Royal European Airlines,69,United Kingdom,Y
Azul,AD,Brazil,Y
LSM Airlines,PQ,Russia,Y
LionXpress,C4,Cameroon,Y
Nik Airways,X1,Saudi Arabia,N
Genesis,GK,Pakistan,Y
Congo Express,XZ,Congo (Kinshasa),Y
Fly Dubai,FZ,United Arab Emirates,Y
Domenican Airlines,D1,Dominican Republic,Y
Air Atlantic,9A,Canada,N
Air Ops,CR,Sweden,N
Aereonautica militare,JY,Italy,Y
LSM AIRLINES ,YZ,Russia,Y
Aero Lloyd (YP),YP,Germany,N
UTair-Express,UR,Russia,Y
Huaxia,G5,China,Y
Zabaykalskii Airlines,ZP,Russia,Y
Marysya Airlines,M4,Russia,Y
N1,N1,Peru,Y
Airlink (SAA),4Z,South Africa,Y
JobAir,3B,Czech Republic,Y
Zuliana de Aviacion,OD,Venezuela,N
Black Stallion Airways,BZ,United States,Y
German International Air Lines,GM,Germany,Y
TrasBrasil,TB,Brazil,Y
TransBrasil Airlines,TH,Brazil,Y
China SSS,9C,China,Y
Nihon.jet,NJ,Japan,N
Transportes Aéreos Nacionales de Selva,TJ,Peru,N
Air Mekong,P8,Vietnam,Y
Harbour Air (Priv),H3,Canada,Y
Air Hamburg (AHO),HH,Germany,Y
ZABAIKAL AIRLINES,Z6,Russia,Y
TransHolding,TI,Brazil,Y
Yeti Airways,YT,Nepal,Y
Yellowstone Club Private Shuttle,Y1,United States,Y
Caucasus Airlines,NS,Georgia,Y
Serbian Airlines,S1,Serbia,Y
Windward Islands Airways,WM,Netherlands Antilles,Y
TransHolding System,YO,Brazil,Y
CCML Airlines,CB,Colombia,Y
Air Charter International,SF,France,N
Fly Brasil,F1,Brazil,Y
CB Airways UK ( Interliging Flights ),1F,United Kingdom,Y
Fly Colombia ( Interliging Flights ),3F,Colombia,Y
Trans Pas Air,T6,United States,Y
Himalayan Airlines,HC,Nepal,Y
Indya Airline Group,G1,India,Y
Sunwing,WG,Canada,Y
Japan Regio,ZX,Japan,Y
Norte Lineas Aereas,N0,Argentina,Y
Austral Brasil,W7,Brazil,Y
PEGASUS AIRLINES-,H9,Turkey,Y
AirLiberté,IJ,France,N
Camair-co,QC,Cameroon,Y
Aerocontinente (Priv),N6,Peru,N
Sky Regional,RS,Canada,Y
TUR Avrupa Hava YollarÄ±,YI,Turkey,N
LSM International ,II,Russia,Y
Baikotovitchestrian Airlines ,BU,American Samoa,Y
Luchsh Airlines ,L4,Russia,Y
Zimbabwean Airlines,Z7,Zimbabwe,N
Air Cargo Germany,6U,Germany,Y
Mongolian International Air Lines ,7M,Mongolia,Y
Alaniya Airlines,2D,Russia,N
Tway Airlines,TW,South Korea,Y
Papillon Grand Canyon Helicopters,HI,United States,Y
Jusur airways,JX,Egypt,Y
NEXT Brasil,XB,Brazil,Y
AeroWorld ,W4,Russia,Y
Cook Island Air,KH,Cook Islands,N
US Africa Airways,E8,United States,N
GNB Linhas Aereas,GN,Brazil,Y
Usa Sky Cargo,E1,United States,Y
Hankook Airline,HN,South Korea,Y
Red Jet America,RR,United States,N
REDjet,Z7,Barbados,Y
Hellenic Airways,1H,Greece,N
Red Jet Andes,PT,Peru,Y
Red Jet Canada,QY,Canada,Y
Red Jet Mexico,4X,Mexico,Y
Marusya Airways,Y8,Russia,Y
Era Alaska,7H,United States,Y
AirRussia,R8,Russia,Y
Hankook Air US,H1,United States,Y
NEPC Airlines,D5,India,N
Canadian World,10,Canada,N
I-Fly,H5,Russia,Y
T.A.T,IJ,France,N
Alinord,DN,Italy,N
Pacific Express,VB,United States,N
VickJet,KT,France,Y
BVI Airways,XV,British Virgin Islands,Y
Salsa d\\'Haiti,SO,Haiti,Y
Zambezi Airlines (ZMA),ZJ,Zambia,Y
Polet Airlines (Priv),YQ,Russia,Y
TROPICAL LINHAS AEREAS,T1,Brazil,N
12 North,12,India,Y
Mauritania Airlines International,L6,Mauritania,Y
MAT Airways,6F,Macedonia,Y
Asian Wings Airways,AW,Burma,Y
Air Arabia Egypt,E5,Egypt,Y
Alitalia Cityliner,CT,Italy,Y
Orchid Airlines,OI,Australia,Y
Asia Wings,Y5,Kazakhstan,Y
Skywest Australia,XR,Australia,Y
Nile Air,NP,Egypt,Y
Senegal Airlines,DN,Senegal,Y
Fly 6ix,6I,Sierra Leone,Y
Starbow Airlines,S9,Ghana,Y
Copenhagen Express,0X,Denmark,Y
BusinessAir,8B,Thailand,Y
SENIC AIRLINES,YR,United States,Y
Sky Wing Pacific,C7,South Korea,Y
Air Indus,PP,Pakistan,Y
AirOne Polska,U1,Poland,N
Peach Aviation,MM,Japan,Y
Aviabus,U1,Russia,Y
Michael Airlines,DF,Puerto Rico,Y
Korongo Airlines,ZC,Congo (Kinshasa),Y
Indonesia Sky,I5,Indonesia,Y
Pelangi ,9P,Malaysia,N
Aws express,B0,United States,Y
Southjet,76,United States,Y
Southjet connect,77,United States,Y
Air Cape,KP,South Africa,N
Southjet cargo,78,United States,Y
Iberia Express,I2,Spain,Y
Interjet (ABC Aerolineas),4O,Mexico,Y
AirOnix,OG,Ukraine,Y
Nordic Global Airlines,NJ,Finland,Y
Scoot,TZ,Singapore,Y
Starling Airlines Spain,SX,Spain,N
Hi Fly (5K),5K,Portugal,Y
China Northwest Airlines (WH),WH,China,Y
Zenith International Airline,ZN,Thailand,Y
Orbit Airlines Azerbaijan,O1,Azerbaijan,Y
Air Alps Aviation (A6),A6,Austria,Y
Patriot Airways,P4,United States,Y
Vision Airlines (V2),V2,United States,Y
Chicago Express (C8),C8,United States,N
BQB Lineas Aereas,5Q,Uruguay,Y
Yellowtail,YE,United States,Y
Royal Airways,KG,United States,Y
FlyHigh Airlines Ireland (FH),FH,Ireland,Y
Aero VIP (2D),2D,Portugal,Y
Yangon Airways Ltd.,YH,Burma,Y
T.J. Air,TJ,United States,Y
SkyWork Airlines ,SX,Switzerland,Y
ValueJet,J7,United States,N
Maastricht Airlines,W2,Netherlands,Y
CheapFlyingInternational,WL,France,N
Aviaexpresscruise,E6,Russia,N
Euro Jet,24,Germany,Y
HQ- Business Express,HQ,United States,N
Royal Southern Airlines.,R1,Colombia,N
SOCHI AIR CHATER,Q3,Russia,Y
Denim Air ,J7,Norway,Y
WestAir,OE,United States,N
WestAir Airlines,OE,United States,N
WestAir Airlines ,OE,United States,N
North Pacific Airlines,NO,United States,N
Malindo Air,OD,Malaysia,Y
Tramm Airlines,9F,Netherlands Antilles,N
Lina Congo,GC,Congo (Brazzaville),N
Flightlink Tanzania,Z9,Tanzania,Y
IzAvia,I8,Russia,Y
3 Valleys Airlines,3V,France,N
Maryland Air,M1,United States,Y
Insel Air (7I/INC) (Priv),7I,Netherlands Antilles,Y
VivaColombia,5Z,Colombia,Y
Apache Air,ZM,United States,Y
MHS Aviation GmbH,M2,Germany,Y
Jettor Airlines,NR,Hong Kong,Y
GoDutch,GD,Netherlands,N
Thai Lion Air,SL,Thailand,Y
Deutsche Luftverkehrsgesellschaft,DW,Germany,N
National Air Cargo,N8,United States,Y
Eastern Atlantic Virtual Airlines,13,United States,Y
Citilink Indonesia,QG,Indonesia,Y
Gulisano airways,GU,Italy,N
Caribbean Wings,XP,Turks and Caicos Islands,N
Snowbird Airlines,S8,Finland,Y
Kharkiv Airlines,KH,Ukraine,Y
XAIR USA,XA,United States,Y
Air Costa,LB,India,Y
Global Freightways,F5,United States,N
XPTO,XP,Portugal,Y
Malawian Airlines,3W,Malawi,Y
Air Serbia,JU,Serbia,Y
Air Lituanica,LT,Lithuania,Y
Rainbow Air (RAI),RN,United States,Y
Rainbow Air Canada,RY,Canada,Y
Rainbow Air Polynesia,RX,United States,Y
Rainbow Air Euro,RU,United Kingdom,Y
Rainbow Air US,RM,United States,Y
Dobrolet,QD,Russia,Y
Spike Airlines,S0,United States,Y
All Argentina,L1,Argentina,Y
All America,A2,United States,Y
All Asia,L9,China,Y
All Africa,9A,South Africa,Y
Regionalia México,N4,Mexico,Y
All Europe,N9,United Kingdom,Y
All Spain,N7,Spain,Y
Regional Air Iceland,9N,Iceland,Y
Voestar,8K,Brazil,Y
All Colombia,7O,Colombia,Y
Regionalia Uruguay,2X,Uruguay,Y
Regionalia Venezuela,9X,Venezuela,Y
Regionalia Chile,9J,Chile,Y
Vuela Cuba,6C,Cuba,Y
All Australia,88,Australia,Y
Fly Europa,ER,Spain,Y
FlyPortugal,PO,Portugal,Y
Spring Airlines Japan,IJ,Japan,Y
Dense Airways,KP,United States,Y
Dense Connection,KZ,United States,Y
Vuola Italia,4S,Italy,Y
Island Express Air,1X,Canada,Y
All Argentina Express,Z0,Argentina,Y
Thai Smile Airways,WE,Thailand,Y
International AirLink,I4,Jamaica,Y
Real Tonga,RT,Tonga,Y
All America AR,2R,Argentina,Y
All America CL,1R,Chile,Y
SOCHI AIR EXPRESS,Q4,Russia,Y
All America BR,1Y,Brazil,Y
FRA Air,X9,Germany,N
Royal,QN,Canada,N
GREAT LAKES (GX),GX,Canada,N
Volotea Costa Rica,9V,Costa Rica,Y
Fly Romania,X5,Romania,Y
Eagle Atlantic Airlines,E2,Ghana,Y
All America CO,0Y,Colombia,Y
All America MX,0M,Mexico,Y
FOX Linhas Aereas,FX,Brazil,Y
Wings of England,EX,United Kingdom,N
Air Kenya (Priv),QP,Kenya,Y
Via Conectia Airlines,6V,Uruguay,Y
City Airways,E8,Thailand,Y
